Index,Magnitude
0,2
1,2
2,2.38225
3,2
4,2
5,2
6,5.8177
7,2
8,2
9,2
10,651.894
11,2
12,2
13,2
14,5.95224
15,2
16,2
17,2
18,2.41226
19,2
20,2
21,2
22,2.35334
23,2
24,2
25,2
26,5.68799
27,2
28,2
29,2
30,217.284
31,2
32,2
33,2
34,6.0919
35,2
36,2
37,2
38,2.44338
39,2
40,2
41,2
42,2.32553
43,2
44,2
45,2
46,5.56285
47,2
48,2
49,2
50,130.354
51,2
52,2
53,2
54,6.23699
55,2
56,2
57,2
58,2.4756
59,2
60,2
61,2
62,2.29883
63,2
64,2
65,2
66,5.44202
67,2
68,2
69,2
70,93.0926
71,2
72,2
73,2
74,6.38785
75,2
76,2
77,2
78,2.50893
79,2
80,2
81,2
82,2.27324
83,2
84,2
85,2
86,5.32529
87,2
88,2
89,2
90,72.3872
91,2
92,2
93,2
94,6.54483
95,2
96,2
97,2
98,2.54338
99,2
100,2
101,2
102,2.24876
103,2
104,2
105,2
106,5.21245
107,2
108,2
109,2
110,59.2073
111,2
112,2
113,2
114,6.70835
115,2
116,2
117,2
118,2.57894
119,2
120,2
121,2
122,2.2254
123,2
124,2
125,2
126,5.10329
127,2
128,2
129,2
130,50.0796
131,2
132,2
133,2
134,6.87884
135,2
136,2
137,2
138,2.61563
139,2
140,2
141,2
142,2.20315
143,2
144,2
145,2
146,4.99763
147,2
148,2
149,2
150,43.3832
151,2
152,2
153,2
154,7.05677
155,2
156,2
157,2
158,2.65345
159,2
160,2
161,2
162,2.18202
163,2
164,2
165,2
166,4.89531
167,2
168,2
169,2
170,38.2601
171,2
172,2
173,2
174,7.24266
175,2
176,2
177,2
178,2.69241
179,2
180,2
181,2
182,2.16203
183,2
184,2
185,2
186,4.79616
187,2
188,2
189,2
190,34.2134
191,2
192,2
193,2
194,7.43709
195,2
196,2
197,2
198,2.73253
199,2
200,2
201,2
202,2.14316
203,2
204,2
205,2
206,4.70005
207,2
208,2
209,2
210,30.9355
211,2
212,2
213,2
214,7.64068
215,2
216,2
217,2
218,2.77381
219,2
220,2
221,2
222,2.12544
223,2
224,2
225,2
226,4.60683
227,2
228,2
229,2
230,28.2259
231,2
232,2
233,2
234,7.85412
235,2
236,2
237,2
238,2.81626
239,2
240,2
241,2
242,2.10886
243,2
244,2
245,2
246,4.51637
247,2
248,2
249,2
250,25.9483
251,2
252,2
253,2
254,8.07818
255,2
256,2
257,2
258,2.85992
259,2
260,2
261,2
262,2.09344
263,2
264,2
265,2
266,4.42855
267,2
268,2
269,2
270,24.0066
271,2
272,2
273,2
274,8.3137
275,2
276,2
277,2
278,2.90478
279,2
280,2
281,2
282,2.07917
283,2
284,2
285,2
286,4.34327
287,2
288,2
289,2
290,22.3312
291,2
292,2
293,2
294,8.56162
295,2
296,2
297,2
298,2.95087
299,2
300,2
301,2
302,2.06606
303,2
304,2
305,2
306,4.26041
307,2
308,2
309,2
310,20.8708
311,2
312,2
313,2
314,8.82299
315,2
316,2
317,2
318,2.99821
319,2
320,2
321,2
322,2.05413
323,2
324,2
325,2
326,4.17988
327,2
328,2
329,2
330,19.5862
331,2
332,2
333,2
334,9.09896
335,2
336,2
337,2
338,3.04682
339,2
340,2
341,2
342,2.04337
343,2
344,2
345,2
346,4.10159
347,2
348,2
349,2
350,18.4472
351,2
352,2
353,2
354,9.39086
355,2
356,2
357,2
358,3.09673
359,2
360,2
361,2
362,2.03379
363,2
364,2
365,2
366,4.02545
367,2
368,2
369,2
370,17.4303
371,2
372,2
373,2
374,9.70013
375,2
376,2
377,2
378,3.14797
379,2
380,2
381,2
382,2.0254
383,2
384,2
385,2
386,3.95138
387,2
388,2
389,2
390,16.5166
391,2
392,2
393,2
394,10.0284
395,2
396,2
397,2
398,3.20056
399,2
400,2
401,2
402,2.0182
403,2
404,2
405,2
406,3.8793
407,2
408,2
409,2
410,15.6911
411,2
412,2
413,2
414,10.3776
415,2
416,2
417,2
418,3.25454
419,2
420,2
421,2
422,2.01219
423,2
424,2
425,2
426,3.80914
427,2
428,2
429,2
430,14.9415
431,2
432,2
433,2
434,10.7499
435,2
436,2
437,2
438,3.30993
439,2
440,2
441,2
442,2.00737
443,2
444,2
445,2
446,3.74084
447,2
448,2
449,2
450,14.2576
451,2
452,2
453,2
454,11.1475
455,2
456,2
457,2
458,3.36678
459,2
460,2
461,2
462,2.00376
463,2
464,2
465,2
466,3.67433
467,2
468,2
469,2
470,13.631
471,2
472,2
473,2
474,11.5734
475,2
476,2
477,2
478,3.42513
479,2
480,2
481,2
482,2.00136
483,2
484,2
485,2
486,3.60956
487,2
488,2
489,2
490,13.0548
491,2
492,2
493,2
494,12.0307
495,2
496,2
497,2
498,3.48501
499,2
500,2
501,2
502,2.00015
503,2
504,2
505,2
506,3.54647
507,2
508,2
509,2
510,12.5231
511,2
512,2
